brand,model,year,trim_version,price,location,mileage,fuel_type,gearbox,body_condition,body_color,interior_color,ad_url,scrape_date,car_age
جک,جی 4,1404,اتوماتیک,671000000.0,تهران/دانشگاهشریف,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-3qnbwpsh-jac-j4-1404,2025-06-08 18:53:02.560104,0
حواله,بی ای سی، X3 PRO,1404,1.5لیتر,600000000.0,رشت/امامحسین,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-uwd9mgih-bac-x3pro-1.5liter-1404,2025-06-08 18:53:00.836267,0
فونیکس,آریزو 6 پرو,1403,اتوماتیک,1200000000.0,تهران/استادمعین,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-9isygfh3-fownix-arrizo6pro-1403,2025-06-08 18:52:56.212278,1
ام,وی ام، X55 PRO,1403,IE,1153000000.0,تهران/دانشگاهشریف,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-8apvgcec-mvm-x55pro-ie-1403,2025-06-08 18:52:46.601208,1
ام,وی ام، X55 PRO,1403,IE,1079000000.0,تهران/دانشگاهشریف,0,بنزینی,اتوماتیک,بدون رنگ,خاکستری,داخل مشکی,https://bama.ir/car/detail-c9yanlmf-mvm-x55pro-ie-1403,2025-06-08 18:52:41.080445,1
پژو,207,1404,پانوراما دنده‌ای,627000000.0,تهران/دانشگاهشریف,0,بنزینی,دنده‌ای,بدون رنگ,تیتانیوم,داخل مشکی,https://bama.ir/car/detail-ruck6zht-peugeot-207-manualpanorama-1404,2025-06-08 18:52:29.423304,0
اکستریم,TXL,1403,2.0لیترتوربو,2350000000.0,تهران/استادمعین,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-qoqs14ur-xtrim-txl-2.0literturbo-1403,2025-06-08 18:52:20.069742,1
فونیکس,تیگو 8 پرو مکس,1404,IE,3370000000.0,تهران/یوسفآباد,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-ojtpimay-fownix-tiggo8promax-ie-1404,2025-06-08 18:52:15.761320,0
اطلس,G,1404,دنده‌ای,363000000.0,تهران/جمهوری,0,بنزینی,دنده‌ای,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-fzdbthld-atlas-g-mt-1404,2025-06-08 18:52:13.780764,0
ام,وی ام، X33 کراس,1404,اتوماتیک,700000000.0,تهران/جمهوری,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-rc7qqwt3-mvm-x33cross-at-1404,2025-06-08 18:52:07.862476,0
